authorId,authorName,content,waktu
6621946388,rinoset,saya mau daftar tapi kode UTP tidak pernah saya terima,2020-11-08T02:54:58-07:00
6618559532,Mella D. Putri,"Terimakasih BRI M-Banking karena sangat memudahkan ketika transaksi, tepat, cepat dan nyaman.",2020-11-07T04:43:22-07:00
6617443414,bp64531,Selalu crash pada saat menu pembuatan password utk user baru. Mohon di cek ya.,2020-11-06T20:52:36-07:00
6617099752,wardha dj,Good aplication,2020-11-06T18:23:14-07:00
6616907106,jehrjdie,"Kenapa sering sekali akun terblokir
Pernah sudah reset pasword dan login pakai pasw baru masih terblokir lagi...menyusahkan user nih",2020-11-06T17:06:43-07:00
6616586340,aya styan,"Kok sekarang susah sekali pake aplikasi brimo,selalu error,setiap abis masukin kode password selalu error,ini sangat merugikan sy karena setiap transaksi gara2 error saya sampai transfer 2x 3x saldo sy berkurang tp gak ad keterangan trnsfer nya.tulisan nya error terus.tolong diperbaiki dong",2020-11-06T14:57:09-07:00
6616377820,shdico,Keluar terus tiap buat akun tolong diperbaiki,2020-11-06T13:27:28-07:00
6615514958,salmasyanindita,Error mulu tiap mau melakukan transaksi mohon diperbaiki:(((,2020-11-06T08:18:19-07:00
6615154233,lolalimilani,"Tolong dong diperbaiki sistemnya,masa tiap login,tiba2 logout sendiri, belom juga transaksi,uda logout sendiri. Gini terus masalahnya. Tolong segera diperbaiki.",2020-11-06T06:24:23-07:00
6614943562,gadingmahen,Kenapa pada iphone x tidak bisa langsung top-up brizzi padahal iphone x sudah support nfc,2020-11-06T05:19:51-07:00
6614644201,Rezki56,Aplikaai sangat membatu tapi kurangnya kadang2 keluar snediri,2020-11-06T03:49:31-07:00
6614360292,Rizky Mandera,Sering mengalami kendala koneksi sejak update ios 14. Mohon segera diperbaiki. Terima kasih,2020-11-06T01:56:20-07:00
6613924669,romi tan,Tiap updete eror,2020-11-05T22:28:50-07:00
6613553272,rizaldyy,"Katanya coba di lain waktu jaringan terputus padahal wifi saya ngebut + hp saya xs max, selain itu for close terus di ios 14",2020-11-05T19:20:23-07:00
6613485379,don sami,"udah 1 minggu gak bisa log in padahal password udah bener, udah ganti password tetap aja gak bisa masuk. tolong diperbaiki lagi sistemnya",2020-11-05T18:48:49-07:00
6613220724,graciaputra,"Timeout terus, keterangan user sedang dipakai padahal pakai web lancar",2020-11-05T16:51:40-07:00
6612942749,plenyoen,sering keluar notif kesalahan sistem. yang akhirnya akun terblokir... mohon untuk di tinjau lagi biar tidak merepotkan orang bolak balik ke CS,2020-11-05T14:48:27-07:00
6611714580,chrisnjhon7777,Kok mau bikin password aja gbsa2 ya? Keluar sendiri terus ni app,2020-11-05T07:02:59-07:00
6610937165,mang amung,Mau registrasi force close terus app nya,2020-11-05T02:31:09-07:00
6610581580,atiqa92,Maaf kenapa kode verivikasi  tidak kunjung masuk ke hp sy,2020-11-04T23:47:00-07:00
6610380698,Superbarry,"Tried so many times to open account and always end up on creating password’s page. It quitted unexpectedly, and I have to repeat the process all over again and stuck on the same page.",2020-11-04T22:03:43-07:00
6610146838,FPU11,"Mau transfer tapi gagal terus
Aplikasinya kurang maksimal",2020-11-04T19:59:30-07:00
6607700873,Mayonk,"Entah sudah berapa kali saya terpaksa ganti password gara-gara diblokir, padahal password yang Saya masukkan sudah benar bahkan dengan memakai face id sekalipun. Saya tidak pernah mendapatkan permasalahan seperti ini di mobile banking bank2 lain yang Saya gunakan.",2020-11-04T03:39:40-07:00
6607574836,jaygung,kenapa kode OTP gak ada dikirim,2020-11-04T02:49:35-07:00
6606597050,wari23,Finally gak pelu nomor token lagi ?,2020-11-03T18:47:37-07:00
6606381337,grans xaverius,Aplikasi selalu force close !!!,2020-11-03T17:13:06-07:00
6606141490,asyifa putri,Dari kemaren mau login tinggal nunggu kode nya di kirim ke nomor hp saya tapi gak masuk masuk?,2020-11-03T15:24:53-07:00
6606041390,puutrifn,"kenapa waktu login trus disuruh nulis email. dan disitu tulisannya akan dikirim kode verifikasi, tapi ditunggu lama kode nya jg tidak ada",2020-11-03T14:39:41-07:00
6604750767,syinr,"Maaf, ini ko saldo saya 0 ajah yah, padahal pas bikin atmnya itu udah diisi 100.000 , itu kenapa yahh . Tolong dijawab",2020-11-03T06:40:40-07:00
6604539660,akbar.naf,"Lebih dari sehari kalau ga login, begitu login akun sudah langsung terblokir. Padahal user dan password tidak salah. Jawabannya pasti reset password aja, masak tiap kali mau pakai harus reset password?",2020-11-03T05:34:49-07:00
6604413866,kyindy,Memang terbaik,2020-11-03T04:53:23-07:00
6604357443,wijayanti sugi,Puas banget,2020-11-03T04:33:39-07:00
6604163884,digital.ant27,"Woow.. hebat, tiba tiba terblokir, harus reset password. Langsung isi pulsa agar bisa terima sms token, ga taunya sms token gagal terus, tidak pernah bisa terkirim, tapi pulsa sms terkuras... MANTAAAP bri, LANJOOOOTKANN!!!! ??????????????????????????????????",2020-11-03T03:21:32-07:00
6603983914,bay.sky,Kode verif gak keluar dahlah,2020-11-03T02:06:54-07:00
6603918718,sibatanghitam,Tai burikkk,2020-11-03T01:35:49-07:00
6603836609,yaz in,keseringan koneksi terputus ..akun baru di buka blokirannya . udah ke blokir lagi .kudu ke kantor lagi untuk buka blokirannya .,2020-11-03T00:56:55-07:00
6603751319,pu+ra,SANGAT TIDAK MEMUASKAN TIDAK BISA LOGIN DI BUAT KONEKSI TERPUTUS .SAYA PAKAI WIFI 20mbps SENDIRIAN DAN PAKAI KARTU PAKET TELKOMSEL YG BARU SAJA DI ISI .TAPI TETAP TIDAK ADA KONEKSI .BUKA YOUTUBE MBAKING BNI MBAKING BCA SEMUA BISA .TOLONG DIPERBAIKI LA SISTEMNYA,2020-11-03T00:16:25-07:00
6603743728,KinKin Nz,Tidak bisa dibuka di ios 14,2020-11-03T00:12:49-07:00
6603741813,dimasrlutfi,Terputus terus,2020-11-03T00:11:48-07:00
6603719808,konsumen aktif,"Aplikasi bangke, kenapa kalo mau transaksi koneksi terputus terus
Malu”in nama besar BRI
Aplikasi bikin kesel, gak mutu
Tolong dong di perbaiki",2020-11-03T00:01:08-07:00
6603675620,Realhuman123,"Udah 1 bulan semenjak update ios 14, nge-bugs gak jelas. 
Team support untuk IT BRI kemana?
Transaksi susah banget
Aplikasi bank lain fine aja. 
Update dong hai BRIMO",2020-11-02T23:40:11-07:00
6603650644,MasHennnn,"ini kenapa bug nya makin parah ? mau cek saldo, mau tf ga bisa mulu , koneksi terputus lagi dan lagi. padahal koneksi internet sangat lancar",2020-11-02T23:27:58-07:00
6603649898,khalil al-khalidi,"Udah mulai lambat aplikasi brimo, selalu keluar koneksi terputus padahal jaringan nya bagus buka youtube aman-aman saja. Mohon di perbaiki lagi",2020-11-02T23:27:34-07:00
6603637595,chintyaar,tolong dong dibenerin server nya gabisa login mulu seminggu ini kenapa sih tolong aplikasinya dibenerin lg mas mba,2020-11-02T23:21:22-07:00
6603632017,evi726,"Jelek banget aplikasinya 
Lemoooot pol",2020-11-02T23:18:31-07:00
6603627474,Matthew Gracious,jaringannya perbaiki lah buat ios lalot bet dah dah dah,2020-11-02T23:16:14-07:00
6603580594,Je.o,"Server sering banget error, sedikit2 gangguan. padahal lancar2 aja sinyalnya.",2020-11-02T22:52:41-07:00
6603569514,Fansard,"Kenapa ketika transaksi sering lost koneksi, padahal bar sinyal di hp penuh semua.
Hari ini udh nyoba terus jg masih lost koneksi.",2020-11-02T22:46:54-07:00
6603525922,annaafi,Susah login bos,2020-11-02T22:24:48-07:00
6603515635,Azis96,Sudah dari tanggal 1 November 2020 sampai saat ini ulasan saya tulis tanggan 3 November 2020 seringkali aplikask brimo menyatakan bahwa koneksi terputus. Jujur ini sangat mengecewakan,2020-11-02T22:19:29-07:00
