authorId,authorName,content,waktu,newContent
6707577406,Ramadhaniarief,"Sering sekali ni aplikasi ngeblokir akses saya masuk, padahal sebelumnya gapernah salah password buat masuk. Kalau mau nyuruh rutin ganti password ya dilakukan dengan fair lah, jangan seolah olah saya salah password lalu diblokir, terus disuruh ganti password. Dua bulan, dua kali juga diblokir paksa disuruh ganti password, gobl!!",2020-12-01T16:09:09-07:00,ni aplikasi ngeblokir akses masuk gapernah salah password masuk nyuruh rutin ganti password fair olah salah password blokir suruh ganti password kali blokir paksa suruh ganti password gobl
6707540271,sudahfajar,"saat menggunakan aplikasi selalu terjadi eror pas log in, log out, buka menu, dan kadang ada no rek orang lain entah punya siapa bisa ada di dalam daftar riwayat, parah! tolong lah sekelas BUMN kok pelayanan gini",2020-12-01T15:52:52-07:00,aplikasi eror pas log in log out buka menu kadang no rek orang daftar riwayat parah kelas bumn layan gin
6706869266,Muhammad Andre Gustian,BURUK BANGET PAKE TOKEN SEGALA RIBET,2020-12-01T11:11:59-07:00,buruk banget pake token ribet
6705612551,NJ NC,Padahal sudah sukses pembaruan pasword tapi pas mau login gak bisa trus padahal pasword semua benar. malah katanya id user terbelokir kalau  sudah dua atau tiga kali login,2020-12-01T03:54:17-07:00,sukses baru pasword pas login gak trus pasword id user terbelokir kali login
6705290388,mutiaw0128,Heran deh suka tiba tiba ke blokir sendiri padahal udh bener baru sekali masuk juga udh langsung keblokir gak cuma sekali udh terlalu sering!!!,2020-12-01T01:43:52-07:00,heran deh suka blokir udh bener masuk udh langsung blokir gak udh
6705258139,aryawiguna10,"Banyak lemotnya bikin emosi aja, mau simple aja kok eror mulu,",2020-12-01T01:29:39-07:00,lot bikin emosi aja simple aja eror mulu
6705257839,y_idol,Tampilan lebih fresh daripada versi aplikasi sebelumnya. Tapi kenapa masalahnya masih sama ya? User ID saya terblokir tiba tiba begitu saja,2020-12-01T01:29:30-07:00,tampil fresh versi aplikasi user id blokir
6705022470,123yus,Saya sudah download dari 8 bulan lalu (maret) namun ketika ke teller saya diinfokan belum bisa digunakan untuk ios. Hari ini (1 des 2020) saya ke teller terkait brimo untuk ios apa sudah bisa digunakan ternyata masih sama saja. Saya masuk aplikasi dan login untuk mendapat sms verifikasi saja tidak bisa. Tolong ditingkatkan performa aplikasi ya. Terima kasih,2020-11-30T23:40:26-07:00,download maret teller info ios des teller kait brimo ios masuk aplikasi login sms verifikasi tingkat performa aplikasi terima kasih
6704421178,yyvhgjhgg,"parah woy aplikasi user id keblokir mulu , males banget tiap bulan inget inget password baru mulu , gajelas aplikasinya",2020-11-30T18:55:41-07:00,parah woy aplikasi user id blokir mulu males banget inget inget password mulu gajelas aplikasi
6702761463,lasomatonggo123,Kenapa di ios 14 sering muncul peringatan koneksi terputus,2020-11-30T07:45:12-07:00,ios muncul ingat koneksi putus
